_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry
534,13465959.0,Richmond St E,Parliament St,1,315768.179,4834966.252,-79.364023,43.654559000000006,1,"{u'type': u'Point', u'coordinates': (-79.3640229982, 43.6545590111)}"
535,13467993.0,Lake Shore Blvd W,York St,2,314411.515,4833508.938999999,-79.380868,43.641459999999995,2,"{u'type': u'Point', u'coordinates': (-79.3808680071, 43.6414600022)}"
536,13444656.0,Steeles Ave W,Carpenter Rd,3,309017.922,4850229.154,-79.44758900000001,43.792013,3,"{u'type': u'Point', u'coordinates': (-79.447588999, 43.7920130014)}"
537,13444138.0,Steeles Ave W,Hilda Ave,4,310492.057,4850673.973,-79.42926700000001,43.796007,4,"{u'type': u'Point', u'coordinates': (-79.4292670009, 43.7960070063)}"
538,13451893.0,Albion Rd,Silverstone Dr,5,296738.06899999996,4844782.178,-79.600094,43.742952,5,"{u'type': u'Point', u'coordinates': (-79.6000939933, 43.7429520013)}"
539,13459576.0,Dixon Rd,Kipling Ave,6,300072.37,4839368.29,-79.558649,43.694249,6,"{u'type': u'Point', u'coordinates': (-79.5586490059, 43.6942490045)}"
540,13448601.0,Steeles Ave W,Islington Ave,7,298771.768,4847156.495,-79.574871,43.764343,7,"{u'type': u'Point', u'coordinates': (-79.5748709931, 43.7643430031)}"
541,13450231.0,Sheppard Ave W,Wilson Heights Blvd,8,308282.925,4845745.977,-79.456751,43.751663,8,"{u'type': u'Point', u'coordinates': (-79.4567510019, 43.751663001)}"
542,13449607.0,Bathurst St,Sheppard Ave W,9,309753.93,4846168.518,-79.43848100000001,43.755458000000004,9,"{u'type': u'Point', u'coordinates': (-79.4384810044, 43.7554580029)}"
543,13455749.0,Lawrence Ave W,Marlee Ave,10,309109.43100000004,4841741.672,-79.44651999999999,43.715615,10,"{u'type': u'Point', u'coordinates': (-79.4465200053, 43.7156150035)}"
544,13455135.0,Bathurst St,Lawrence Ave W,11,310455.102,4842147.397,-79.429816,43.719258,11,"{u'type': u'Point', u'coordinates': (-79.4298159904, 43.7192580018)}"
545,13444532.0,Bayview Ave,Cummer Ave,12,313363.119,4850264.873,-79.393596,43.792297,12,"{u'type': u'Point', u'coordinates': (-79.393596004, 43.7922969999)}"
546,13445882.0,Finch Ave E,Willowdale Ave,13,312277.28,4849077.938,-79.407105,43.781625,13,"{u'type': u'Point', u'coordinates': (-79.4071050001, 43.7816250044)}"
547,13452717.0,Leslie St,Lawrence Ave E,14,316401.596,4843852.294,-79.355979,43.734535,14,"{u'type': u'Point', u'coordinates': (-79.3559789976, 43.7345350021)}"
548,13449822.0,Leslie St,York Mills Rd,15,316076.644,4845898.023,-79.35996999999999,43.752953999999995,15,"{u'type': u'Point', u'coordinates': (-79.3599699911, 43.7529540025)}"
549,13448765.0,Bayview Ave,Truman Rd,16,313928.145,4846742.627,-79.386635,43.760585999999996,16,"{u'type': u'Point', u'coordinates': (-79.3866350029, 43.7605860032)}"
